,data_filepath,topics,alpha,eta,iterations,passes,decay,coherence
41,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,asymmetric,0.01,50,1,0.99,0.07660613361074073
42,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,asymmetric,0.01,50,10,0.5,0.27358943007537573
43,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,asymmetric,0.01,50,10,0.99,0.09970634475096507
44,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,asymmetric,0.01,100,1,0.5,0.10265395039576722
45,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,asymmetric,0.01,100,1,0.99,0.07916523962030819
46,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,asymmetric,0.01,100,10,0.5,0.2708042659293069
47,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,asymmetric,0.01,100,10,0.99,0.09505993766717422
48,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,auto,50,1,0.5,0.09487552288227523
49,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,auto,50,1,0.99,0.07940614314308134
50,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,auto,50,10,0.5,0.24887577526151555
51,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,auto,50,10,0.99,0.11174438142923437
52,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,auto,100,1,0.5,0.09501022796226025
53,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,auto,100,1,0.99,0.0720250072351778
54,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,auto,100,10,0.5,0.23996142660900363
55,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,auto,100,10,0.99,0.09484048449396817
